fname,Status,pixel size,Single tick,Sex,Lifestage,Feed-Stage,Species,Identifier_initials,ID_date,Notes,re-cropped
Amblyomma_americanum_f_a_mcevbd_unk_fed_NNTID84.jpg,Augment,56,TRUE,f,a,fed,Amblyomma americanum,XL,08/06/2020,,FALSE
Amblyomma_americanum_unk_unk_ta_unk_unk_190428-1907-30.jpg,Discard,17,TRUE,unk,unk,unk,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_190516-2022-47.jpg,Augment,43,TRUE,f,a,fed,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_190615-1741-47.jpg,Augment,72,TRUE,f,a,unfed,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200526-1152-26.jpg,Augment,45,TRUE,f,a,unk,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200528-2048-70.jpg,Keep,18,TRUE,f,a,unfed,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200531-3746-37.jpg,Augment,90,TRUE,f,a,unfed,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200603-1013-63.jpg,Augment,53,TRUE,f,a,unfed,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200603-2050-35.jpg,Augment,22,TRUE,f,a,unfed,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_200608-2147-33.jpg,Augment,22,TRUE,f,a,fed,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_200609-0938-92.jpg,Augment,68,TRUE,f,a,fed,Amblyomma americanum,XL,08/06/2020,,FALSE
Amblyomma_americanum_f_a_ta_unk_fed_200612-9200-95.jpg,Augment,25,TRUE,f,a,fed,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_200613-0759-68.jpg,Augment,36,TRUE,f,a,fed,Amblyomma americanum,XL,08/06/2020,,TRUE
