,fname,class_num,label,pred_num,pred_label,prob,prob_all,correct,Status,pixel size,Single tick,Sex,Lifestage,Feed-Stage,Species,Identifier_initials,ID_date,re-cropped
0,Amblyomma_americanum_f_a_iNat_unk_fed_42162614.jpg,0,Amblyomma,0,Amblyomma,99.94,[9.993592e-01 6.399653e-04 8.675455e-07],1,Augment,90.0,TRUE,f,a,fed,Amblyomma americanum,XL,8/13/2020,TRUE
1,Amblyomma_americanum_f_a_iNat_unk_fed_46107755.jpg,0,Amblyomma,1,Dermacentor,99.95,[4.7993826e-04 9.9951303e-01 7.0414944e-06],0,Augment,100.0,TRUE,f,a,fed,Amblyomma americanum,XL,8/13/2020,FALSE
2,Amblyomma_americanum_f_a_iNat_unk_fed_46479555.jpg,0,Amblyomma,1,Dermacentor,93.28,[6.7197770e-02 9.3279785e-01 4.4828721e-06],0,Augment,200.0,TRUE,f,a,fed,Amblyomma americanum,XL,8/13/2020,FALSE
3,Amblyomma_americanum_f_a_iNat_unk_fed_51590943.jpg,0,Amblyomma,0,Amblyomma,99.21,[0.9920773  0.00558127 0.00234146],1,Augment,45.0,TRUE,f,a,fed,Amblyomma americanum,PS,8/3/2020,FALSE
4,Amblyomma_americanum_f_a_iNat_unk_unfed_12100671.jpg,0,Amblyomma,0,Amblyomma,99.98,[9.9977523e-01 2.2422119e-04 6.0315568e-07],1,Augment,120.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,FALSE
5,Amblyomma_americanum_f_a_iNat_unk_unfed_12146945.jpg,0,Amblyomma,0,Amblyomma,100.0,[9.9999499e-01 2.8566382e-07 4.7758977e-06],1,Augment,20.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,TRUE
6,Amblyomma_americanum_f_a_iNat_unk_unfed_12214496.jpg,0,Amblyomma,2,Ixodes,63.19,[0.36195108 0.00615693 0.631892  ],0,Augment,25.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,TRUE
7,Amblyomma_americanum_f_a_iNat_unk_unfed_12531169.jpg,0,Amblyomma,0,Amblyomma,100.0,[9.9999917e-01 7.7821647e-07 2.5700142e-08],1,Augment,140.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/8/2020,FALSE
8,Amblyomma_americanum_f_a_iNat_unk_unfed_12731256.jpg,0,Amblyomma,0,Amblyomma,99.97,[9.9969685e-01 1.3326551e-04 1.6995135e-04],1,Augment,140.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/8/2020,FALSE
9,Amblyomma_americanum_f_a_iNat_unk_unfed_12797162.jpg,0,Amblyomma,0,Amblyomma,72.2,[0.7220197  0.21742527 0.06055509],1,Augment,25.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/8/2020,TRUE
10,Amblyomma_americanum_f_a_iNat_unk_unfed_12932714.jpg,0,Amblyomma,0,Amblyomma,96.94,[9.6942431e-01 1.6430650e-04 3.0411346e-02],1,Augment,35.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/8/2020,TRUE
11,Amblyomma_americanum_f_a_iNat_unk_unfed_13086449.jpg,0,Amblyomma,1,Dermacentor,99.87,[5.900055e-04 9.987141e-01 6.959101e-04],0,Augment,25.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/8/2020,TRUE
12,Amblyomma_americanum_f_a_iNat_unk_unfed_13343669.jpg,0,Amblyomma,0,Amblyomma,100.0,[1.0000000e+00 1.0876028e-09 1.6983146e-15],1,Augment,30.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/8/2020,TRUE
13,Amblyomma_americanum_f_a_iNat_unk_unfed_13390786.jpg,0,Amblyomma,0,Amblyomma,98.57,[0.9856909  0.00925009 0.00505895],1,Augment,20.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/8/2020,TRUE
14,Amblyomma_americanum_f_a_iNat_unk_unfed_13432198.jpg,0,Amblyomma,0,Amblyomma,52.09,[5.2085483e-01 4.7914484e-01 2.7025428e-07],1,Augment,50.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/8/2020,FALSE
15,Amblyomma_americanum_f_a_iNat_unk_unfed_13531387.jpg,0,Amblyomma,0,Amblyomma,99.99,[9.9990261e-01 9.3627976e-05 3.8443959e-06],1,Augment,15.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/8/2020,TRUE
16,Amblyomma_americanum_f_a_iNat_unk_unfed_13814193.jpg,0,Amblyomma,0,Amblyomma,99.99,[9.9994791e-01 5.2086798e-05 2.7857739e-08],1,Augment,30.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/8/2020,TRUE
17,Amblyomma_americanum_f_a_iNat_unk_unfed_14463757.jpg,0,Amblyomma,0,Amblyomma,87.95,[0.8794921  0.11950639 0.00100142],1,Augment,40.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/8/2020,TRUE
18,Amblyomma_americanum_f_a_iNat_unk_unfed_22936262.jpg,0,Amblyomma,1,Dermacentor,72.26,[0.01442912 0.722592   0.2629789 ],0,Augment,224.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/10/2020,FALSE
19,Amblyomma_americanum_f_a_iNat_unk_unfed_231763.jpg,0,Amblyomma,0,Amblyomma,100.0,[9.9999988e-01 1.7312102e-07 7.1233863e-10],1,Augment,100.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,FALSE
20,Amblyomma_americanum_f_a_iNat_unk_unfed_24053993.jpg,0,Amblyomma,0,Amblyomma,100.0,[9.9999940e-01 6.3852286e-07 5.5798006e-09],1,Augment,75.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/10/2020,FALSE
21,Amblyomma_americanum_f_a_iNat_unk_unfed_25079758.jpg,0,Amblyomma,0,Amblyomma,100.0,[9.9999952e-01 2.1624811e-07 2.0260514e-07],1,Augment,40.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/10/2020,TRUE
22,Amblyomma_americanum_f_a_iNat_unk_unfed_25307989.jpg,0,Amblyomma,0,Amblyomma,100.0,[9.9999189e-01 8.0864838e-06 8.0291995e-09],1,Augment,40.0,TRUE,f,a,unfed,Amblyomma americanum,XL,8/11/2020,TRUE
